CMIP6 Compund Name       CF Standard Name                                                                                                              Physical Parameter Title                                                                                                                             Description
Ofx.hfgeou               upward_geothermal_heat_flux_at_sea_floor                                                                                      hfgeou             Upward Geothermal Heat Flux at Sea Floor                                                                                          Upward geothermal heat flux per unit area on the sea floor
Ofx.masscello            sea_water_mass_per_unit_area                                                                                                  masscello          Ocean Grid-Cell Mass per Area                                                                                                     Tracer grid-cell mass per unit area used for computing tracer budgets. For Boussinesq models with static ocean grid cell thickness, masscello = rhozero\*thickcello, where thickcello is static cell thickness and rhozero is constant Boussinesq reference density. More generally, masscello is time dependent and reported as part of Omon.
Ofx.sftof                sea_area_fraction                                                                                                             sftof              Sea Area Percentage                                                                                                               This is the area fraction at the ocean surface.
Ofx.thkcello             cell_thickness                                                                                                                thkcello           Ocean Model Cell Thickness                                                                                                        Thickness of ocean cells. "Thickness" means the vertical extent of a layer. "Cell" refers to a model grid-cell.
Ofx.volcello             ocean_volume                                                                                                                  volcello           Ocean Grid-Cell Volume                                                                                                            For oceans with more than 1 mesh (e.g. staggered grids), report areas that apply to surface vertical fluxes of energy. If this field is time-dependent then save it instead as one of your Omon and Odec fields
Omon.absscint            integral_wrt_depth_of_sea_water_absolute_salinity_expressed_as_salt_mass_content                                              absscint           Integral wrt depth of seawater absolute salinity expressed as salt mass content                                                   This is a fundamental aspect of the changes in the hydrological cycle and their impact on the oceans, and due to new numerical schemes and vertical discretizations, it is important to calculate it consistently with the model formulation.
Omon.agessc              sea_water_age_since_surface_contact                                                                                           agessc             Sea Water Age Since Surface Contact                                                                                               Time elapsed since water was last in surface layer of the ocean.
Omon.arag                mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water                                                              arag               Aragonite Concentration                                                                                                           sum of particulate aragonite components (e.g. Phytoplankton, Detrital, etc.)
Omon.aragos              mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water                                                              aragos             Surface Aragonite Concentration                                                                                                   sum of particulate aragonite components (e.g. Phytoplankton, Detrital, etc.)
Omon.baccos              mole_concentration_of_bacteria_expressed_as_carbon_in_sea_water                                                               baccos             Surface Bacterial Carbon Concentration                                                                                            sum of bacterial carbon component concentrations
Omon.bigthetao           sea_water_conservative_temperature                                                                                            bigthetao          Sea Water Conservative Temperature                                                                                                Diagnostic should be contributed only for models using conservative temperature as prognostic field.
Omon.bigthetaoga         sea_water_conservative_temperature                                                                                            bigthetaoga        Global Average Sea Water Conservative Temperature                                                                                 Diagnostic should be contributed only for models using conservative temperature as prognostic field.
Omon.calc                mole_concentration_of_calcite_expressed_as_carbon_in_sea_water                                                                calc               Calcite Concentration                                                                                                             sum of particulate calcite component concentrations (e.g. Phytoplankton, Detrital, etc.)
Omon.calcos              mole_concentration_of_calcite_expressed_as_carbon_in_sea_water                                                                calcos             Surface Calcite Concentration                                                                                                     sum of particulate calcite component concentrations (e.g. Phytoplankton, Detrital, etc.)
Omon.calcosSouth30       mole_concentration_of_calcite_expressed_as_carbon_in_sea_water                                                                calcos             Surface Calcite Concentration                                                                                                     sum of particulate calcite component concentrations (e.g. Phytoplankton, Detrital, etc.)
Omon.chcint              integral_wrt_depth_of_sea_water_conservative_temperature_expressed_as_heat_content                                            chcint             Depth Integrated Seawater Conservative Temperature Expressed As Heat Content                                                      This is the vertically-integrated heat content derived from conservative temperature (bigthetao).
Omon.chl                 mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water                                                     chl                Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water                                                   sum of chlorophyll from all phytoplankton group concentrations.  In most models this is equal to chldiat+chlmisc, that is the sum of "Diatom Chlorophyll Mass Concentration" plus "Other Phytoplankton Chlorophyll Mass Concentration"
Omon.chlcalc             mass_concentration_of_calcareous_phytoplankton_expressed_as_chlorophyll_in_sea_water                                          chlcalc            Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water                                              chlorophyll concentration from the calcite-producing phytoplankton component alone
Omon.chlcalcos           mass_concentration_of_calcareous_phytoplankton_expressed_as_chlorophyll_in_sea_water                                          chlcalcos          Surface Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water                                      chlorophyll concentration from the calcite-producing phytoplankton component alone
Omon.chldiat             mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water                                                           chldiat            Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water                                                               chlorophyll from diatom phytoplankton component concentration alone
Omon.chldiatos           mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water                                                           chldiatos          Surface Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water                                                       chlorophyll from diatom phytoplankton component concentration alone
Omon.chldiaz             mass_concentration_of_diazotrophic_phytoplankton_expressed_as_chlorophyll_in_sea_water                                        chldiaz            Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water                                                           chlorophyll concentration from the diazotrophic phytoplankton component alone
Omon.chldiazos           mass_concentration_of_diazotrophic_phytoplankton_expressed_as_chlorophyll_in_sea_water                                        chldiazos          Surface Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water                                                   chlorophyll concentration from the diazotrophic phytoplankton component alone
Omon.chlmisc             mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water                                       chlmisc            Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water                                                   chlorophyll from additional phytoplankton component concentrations alone
Omon.chlmiscos           mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water                                       chlmiscos          Surface Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water                                           chlorophyll from additional phytoplankton component concentrations alone
Omon.chlos               mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water                                                     chlos              Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water                                           sum of chlorophyll from all phytoplankton group concentrations.  In most models this is equal to chldiat+chlmisc, that is the sum of "Diatom Chlorophyll Mass Concentration" plus "Other Phytoplankton Chlorophyll Mass Concentration"
Omon.chlosSouth30        mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water                                                     chlos              Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water                                           sum of chlorophyll from all phytoplankton group concentrations.  In most models this is equal to chldiat+chlmisc, that is the sum of "Diatom Chlorophyll Mass Concentration" plus "Other Phytoplankton Chlorophyll Mass Concentration"
Omon.chlpico             mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water                                                 chlpico            Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water                                                     chlorophyll concentration from the picophytoplankton (<2 um) component alone
Omon.chlpicoos           mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water                                                 chlpicoos          Surface Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water                                             chlorophyll concentration from the picophytoplankton (<2 um) component alone
Omon.detoc               mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water                                                       detoc              Detrital Organic Carbon Concentration                                                                                             sum of detrital organic carbon component concentrations
Omon.dfe                 mole_concentration_of_dissolved_iron_in_sea_water                                                                             dfe                Dissolved Iron Concentration                                                                                                      dissolved iron in sea water is meant to include both Fe2+ and Fe3+ ions (but not, e.g., particulate detrital iron)
Omon.dfeos               mole_concentration_of_dissolved_iron_in_sea_water                                                                             dfeos              Surface Dissolved Iron Concentration                                                                                              dissolved iron in sea water is meant to include both Fe2+ and Fe3+ ions (but not, e.g., particulate detrital iron)
Omon.dfeosSouth30        mole_concentration_of_dissolved_iron_in_sea_water                                                                             dfeos              Surface Dissolved Iron Concentration                                                                                              dissolved iron in sea water is meant to include both Fe2+ and Fe3+ ions (but not, e.g., particulate detrital iron)
Omon.dissi13c            mole_concentration_of_dissolved_inorganic_13C_in_sea_water                                                                    dissi13c           Dissolved Inorganic Carbon-13 Concentration                                                                                       Dissolved inorganic 14carbon (CO3+HCO3+H2CO3) concentration
Omon.dissi13cos          mole_concentration_of_dissolved_inorganic_13C_in_sea_water                                                                    dissi13cos         Surface Dissolved Inorganic Carbon-13 Concentration                                                                               Dissolved inorganic 14carbon (CO3+HCO3+H2CO3) concentration
Omon.dissi14cabio        mole_concentration_of_dissolved_inorganic_14C_in_sea_water                                                                    dissi14cabio       Abiotic Dissolved Inorganic Carbon-14 Concentration                                                                               Abiotic Dissolved inorganic 14carbon (CO3+HCO3+H2CO3) concentration
Omon.dissi14cabioos      mole_concentration_of_dissolved_inorganic_14C_in_sea_water                                                                    dissi14cabioos     Surface Abiotic Dissolved Inorganic Carbon-14 Concentration                                                                       Abiotic Dissolved inorganic 14carbon (CO3+HCO3+H2CO3) concentration
Omon.dissic              mole_concentration_of_dissolved_inorganic_carbon_in_sea_water                                                                 dissic             Dissolved Inorganic Carbon Concentration                                                                                          Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration
Omon.dissicos            mole_concentration_of_dissolved_inorganic_carbon_in_sea_water                                                                 dissicos           Surface Dissolved Inorganic Carbon Concentration                                                                                  Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration
Omon.dissoc              mole_concentration_of_dissolved_organic_carbon_in_sea_water                                                                   dissoc             Dissolved Organic Carbon Concentration                                                                                            Sum of dissolved carbon component concentrations explicitly represented (i.e. not ~40 uM refractory unless explicit)
Omon.dmso                mole_concentration_of_dimethyl_sulfide_in_sea_water                                                                           dmso               Mole Concentration of Dimethyl Sulphide in Sea Water                                                                              Mole concentration of dimethyl sulphide in water
Omon.dmsos               mole_concentration_of_dimethyl_sulfide_in_sea_water                                                                           dmsos              Surface Mole Concentration of Dimethyl Sulphide in Sea Water                                                                      Mole concentration of dimethyl sulphide in water in the near surface layer
Omon.dmsosSouth30        mole_concentration_of_dimethyl_sulfide_in_sea_water                                                                           dmsos              Surface Mole Concentration of Dimethyl Sulphide in Sea Water                                                                      Mole concentration of dimethyl sulphide in water in the near surface layer
Omon.dpco2               surface_carbon_dioxide_partial_pressure_difference_between_sea_water_and_air                                                  dpco2              Delta CO2 Partial Pressure                                                                                                        Difference in partial pressure of carbon dioxide between sea water and air.  The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium.
Omon.dpo2                surface_molecular_oxygen_partial_pressure_difference_between_sea_water_and_air                                                dpo2               Delta O2 Partial Pressure                                                                                                         The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium.  The partial pressure of a gaseous constituent of air is the pressure which it alone would exert with unchanged temperature and number of moles per unit volume.  The surface called "surface" means the lower boundary of the atmosphere.
Omon.epc100              sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water                                              epc100             Downward Flux of Particulate Organic Carbon                                                                                       The phrase 'expressed\_as' is used in the construction A\_expressed\_as\_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. In accordance with common usage in geophysical disciplines, "flux" implies per unit area, called "flux density" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.
Omon.epc1000             sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water                                              epc1000            Downward Flux of Particulate Organic Carbon at 1000m                                                                              The phrase 'expressed\_as' is used in the construction A\_expressed\_as\_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. In accordance with common usage in geophysical disciplines, "flux" implies per unit area, called "flux density" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.
Omon.epcalc100           sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water                                                                 epcalc100          Downward Flux of Calcite                                                                                                          The phrase 'expressed\_as' is used in the construction A\_expressed\_as\_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. In accordance with common usage in geophysical disciplines, "flux" implies per unit area, called "flux density" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid. Calcite is a mineral that is a polymorph of calcium carbonate. The chemical formula of calcite is CaCO3. Standard names also exist for aragonite, another polymorph of calcium carbonate.
Omon.epcalc1000          sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water                                                                 epcalc1000         Downward Flux of Calcite at 1000m                                                                                                 The phrase 'expressed\_as' is used in the construction A\_expressed\_as\_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. In accordance with common usage in geophysical disciplines, "flux" implies per unit area, called "flux density" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid. Calcite is a mineral that is a polymorph of calcium carbonate. The chemical formula of calcite is CaCO3. Standard names also exist for aragonite, another polymorph of calcium carbonate.
Omon.epn100              sinking_mole_flux_of_particulate_organic_nitrogen_in_sea_water                                                                epn100             Downward Flux of Particulate Nitrogen                                                                                             In accordance with common usage in geophysical disciplines, "flux" implies per unit area, called "flux density" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.
Omon.epp100              sinking_mole_flux_of_particulate_organic_phosphorus_in_sea_water                                                              epp100             Downward Flux of Particulate Phosphorus                                                                                           In accordance with common usage in geophysical disciplines, "flux" implies per unit area, called "flux density" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.
Omon.epsi100             sinking_mole_flux_of_particulate_silicon_in_sea_water                                                                         epsi100            Downward Flux of Particulate Silicon                                                                                              In accordance with common usage in geophysical disciplines, "flux" implies per unit area, called "flux density" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.
Omon.evs                 water_evapotranspiration_flux                                                                                                 evs                Water Evaporation Flux Where Ice Free Ocean over Sea                                                                              computed as the total mass of water vapor evaporating from the ice-free portion of the ocean  divided by the area of the ocean portion of the grid cell.
Omon.exparagob           sinking_mole_flux_at_the_sea_floor_of_aragonite_expressed_as_carbon_in_sea_water                                              exparagob          Sinking Flux of Aragonite Reaching the Ocean Bottom                                                                               Downward sinking flux of aragonite at sea floor
Omon.expc                sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water                                              expc               Downward Flux of Particulate Organic Carbon                                                                                       Downward flux of particulate organic carbon
Omon.expcalcob           sinking_mole_flux_at_sea_floor_of_calcite_expressed_as_carbon_in_sea_water                                                    expcalcob          Sinking Flux of Calcite Reaching the Ocean Bottom                                                                                 Downward sinking flux of calcite at seafloor
Omon.expcob              sinking_mole_flux_at_sea_floor_of_particulate_organic_matter_expressed_as_carbon_in_sea_water                                 expcob             Sinking Flux of Particulate Organic Carbon Reaching the Ocean Bottom                                                              Downward sinking flux of particulate organic carbon at seafloor
Omon.expfeob             sinking_mole_flux_at_sea_floor_of_particulate_iron_in_sea_water                                                               expfeob            Sinking Flux of Particulate Iron Reaching the Ocean Bottom                                                                        Downward sinking flux of particulate iron at seafloor
Omon.expnob              sinking_mole_flux_at_sea_floor_of_particulate_organic_nitrogen_in_sea_water                                                   expnob             Sinking Flux of Particulate Organic Nitrogen Reaching the Ocean Bottom                                                            Downward sinking flux of particulate organic nitrogen at seafloor
Omon.exppob              sinking_mole_flux_at_sea_floor_of_particulate_organic_phosphorus_in_sea_water                                                 exppob             Sinking Flux of Particulate Organic Phosphorus Reaching the Ocean Bottom                                                          Downward sinking flux of particulate organic phosphorus at seafloor
Omon.expsiob             sinking_mole_flux_at_sea_floor_of_particulate_silicon_in_sea_water                                                            expsiob            Sinking Flux of Particulate Silicon Reaching the Ocean Bottom                                                                     Downward sinking flux of particulate silicon at seafloor
Omon.fg13co2             surface_downward_mass_flux_of_13C_dioxide_abiotic_analogue_expressed_as_13C                                                   fg13co2            Surface Downward Mass Flux of Carbon-13 as 13CO2 [kgC m-2 s-1]                                                                    Gas exchange flux of abiotic 13CO2 (positive into ocean)
Omon.fg14co2abio         surface_downward_mass_flux_of_14C_dioxide_abiotic_analogue_expressed_as_carbon                                                fg14co2abio        Surface Downward Mass Flux of Carbon-14 as Abiotic 14CO2 [kgC m-2 s-1]                                                            Gas exchange flux of abiotic 14CO2 (positive into ocean)
Omon.fgco2               surface_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon                                                              fgco2              Surface Downward Mass Flux of Carbon as CO2 [kgC m-2 s-1]                                                                         Gas exchange flux of CO2 (positive into ocean)
Omon.fgdms               surface_upward_mole_flux_of_dimethyl_sulfide                                                                                  fgdms              Surface Upward Flux of DMS                                                                                                        Gas exchange flux of DMS (positive into atmosphere)
Omon.ficeberg            water_flux_into_sea_water_from_icebergs                                                                                       ficeberg           Water Flux into Sea Water from Icebergs                                                                                           computed as the iceberg melt water  flux into the ocean divided by the area of the ocean portion of the grid cell.
Omon.ficeberg2d          water_flux_into_sea_water_from_icebergs                                                                                       ficeberg           Water Flux into Sea Water from Icebergs                                                                                           computed as the iceberg melt water flux into the ocean divided by the area of the ocean portion of the grid cell.
Omon.frfe                minus_tendency_of_ocean_mole_content_of_iron_due_to_sedimentation                                                             frfe               Iron Loss to Sediments                                                                                                            "Content" indicates a quantity per unit area.  The specification of a physical process by the phrase due\_to\_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  "tendency\_of\_X" means derivative of X with respect to time.
Omon.fric                minus_tendency_of_ocean_mole_content_of_inorganic_carbon_due_to_sedimentation                                                 fric               Downward Inorganic Carbon Flux at Ocean Bottom                                                                                    Inorganic Carbon loss to sediments
Omon.friver              water_flux_into_sea_water_from_rivers                                                                                         friver             Water Flux into Sea Water from Rivers                                                                                             computed as the river flux of water into the ocean divided by the area of the ocean portion of the grid cell.
Omon.frn                 minus_tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_denitrification_and_sedimentation                           frn                Nitrogen Loss to Sediments and Through Denitrification                                                                            "Content" indicates a quantity per unit area.  The specification of a physical process by the phrase due\_to\_process means that the quantity named is a single term in a sum of terms which together compose the general quantity  named by omitting the phrase. 'Denitrification' is the conversion of nitrate into gaseous compounds such as nitric oxide, nitrous oxide and molecular nitrogen which are then emitted to the atmosphere.  'Sedimentation' is the sinking of particulate matter to the floor of a body of water. "tendency\_of\_X" means derivative of X with respect to time.
Omon.froc                minus_tendency_of_ocean_mole_content_of_organic_carbon_due_to_sedimentation                                                   froc               Downward Organic Carbon Flux at Ocean Bottom                                                                                      Organic Carbon loss to sediments
Omon.fsfe                tendency_of_ocean_mole_content_of_iron_due_to_deposition_and_runoff_and_sediment_dissolution                                  fsfe               Surface Downward Net Flux of Iron                                                                                                 Iron supply through deposition flux onto sea surface, runoff, coasts, sediments, etc
Omon.fsitherm            water_flux_into_sea_water_due_to_sea_ice_thermodynamics                                                                       fsitherm           Water Flux into Sea Water Due to Sea Ice Thermodynamics                                                                           computed as the sea ice thermodynamic water flux into the ocean divided by the area of the ocean portion of the grid cell.
Omon.fsn                 tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_deposition_and_fixation_and_runoff                                fsn                Surface Downward Net Flux of Nitrogen                                                                                             Flux of nitrogen into the ocean due to deposition (sum of dry and wet deposition), fixation (the production of ammonia from nitrogen gas by diazotrophs) and runoff (liquid water which drains from land).
Omon.graz                tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_grazing_of_phytoplankton graz               Total Grazing of Phytoplankton by Zooplankton                                                                                     Total grazing of phytoplankton by zooplankton defined as tendency of moles of carbon per cubic metre.
Omon.grazSouth30         tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_grazing_of_phytoplankton graz               Total Grazing of Phytoplankton by Zooplankton                                                                                     Total grazing of phytoplankton by zooplankton defined as tendency of moles of carbon per cubic metre.
Omon.hfacrossline        ocean_heat_transport_across_line                                                                                              hfacrossline       Ocean Heat Transport across Lines                                                                                                 Depth-integrated total heat transport from resolved and parameterized processes across different lines on the Earth's surface (based on appendix J and table J1 of Griffies et al., 2016). Formally, this means the integral along the line of the normal component of the heat transport. Positive and negative numbers refer to total northward/eastward and southward/westward transports, respectively. The transport should be evaluated for the full depth of the ocean, except for the Pacific Equatorial Undercurrent, which is averaged from the surface to 350m. Use Celsius for temperature scale.
Omon.hfbasin             northward_ocean_heat_transport                                                                                                hfbasin            Northward Ocean Heat Transport                                                                                                    Contains contributions from all physical processes affecting the northward heat transport, including resolved advection, parameterized advection, lateral diffusion, etc. Diagnosed here as a function of latitude and basin.   Use Celsius for temperature scale.
Omon.hfbasinpadv         northward_ocean_heat_transport_due_to_parameterized_eddy_advection                                                            hfbasinpadv        Northward Ocean Heat Transport Due to Parameterized Eddy Advection                                                                Contributions to heat transport from parameterized eddy-induced advective transport due to any subgrid advective process. Diagnosed here as a function of latitude and basin.  Use Celsius for temperature scale.
Omon.hfbasinpmadv        northward_ocean_heat_transport_due_to_parameterized_mesoscale_eddy_advection                                                  hfbasinpmadv       Northward Ocean Heat Transport Due to Parameterized Mesoscale Advection                                                           Contributions to heat transport from parameterized mesoscale eddy-induced advective transport. Diagnosed here as a function of latitude and basin.  Use Celsius for temperature scale.
Omon.hfbasinpmdiff       northward_ocean_heat_transport_due_to_parameterized_mesoscale_eddy_diffusion                                                  hfbasinpmdiff      Northward Ocean Heat Transport Due to Parameterized Mesoscale Diffusion                                                           Contributions to heat transport from parameterized mesoscale eddy-induced diffusive transport (i.e., neutral diffusion). Diagnosed here as a function of latitude and basin.
Omon.hfbasinpsmadv       northward_ocean_heat_transport_due_to_parameterized_submesoscale_eddy_advection                                               hfbasinpsmadv      Northward Ocean Heat Transport Due to Parameterized Submesoscale Advection                                                        Contributions to heat transport from parameterized mesoscale eddy-induced advective transport. Diagnosed here as a function of latitude and basin.  Use Celsius for temperature scale.
Omon.hfds                surface_downward_heat_flux_in_sea_water                                                                                       hfds               Downward Heat Flux at Sea Water Surface                                                                                           This is the net flux of heat entering the liquid water column through its upper surface (excluding any "flux adjustment") .
Omon.hfdsSouth30         surface_downward_heat_flux_in_sea_water                                                                                       hfds               Downward Heat Flux at Sea Water Surface                                                                                           This is the net flux of heat entering the liquid water column through its upper surface (excluding any "flux adjustment") .
Omon.hfevapds            temperature_flux_due_to_evaporation_expressed_as_heat_flux_out_of_sea_water                                                   hfevapds           Temperature Flux Due to Evaporation Expressed as Heat Flux out of Sea Water                                                       This is defined as "where ice\_free\_sea over sea"
Omon.hfgeou              upward_geothermal_heat_flux_at_sea_floor                                                                                      hfgeou             Upward Geothermal Heat Flux at Sea Floor                                                                                          Upward geothermal heat flux per unit area on the sea floor
Omon.hfibthermds         heat_flux_into_sea_water_due_to_iceberg_thermodynamics                                                                        hfibthermds        Heat Flux into Sea Water Due to Iceberg Thermodynamics                                                                            Heat Flux into Sea Water Due to Iceberg Thermodynamics
Omon.hfibthermds2d       heat_flux_into_sea_water_due_to_iceberg_thermodynamics                                                                        hfibthermds        Heat Flux into Sea Water Due to Iceberg Thermodynamics                                                                            Heat Flux into Sea Water Due to Iceberg Thermodynamics
Omon.hfrainds            temperature_flux_due_to_rainfall_expressed_as_heat_flux_into_sea_water                                                        hfrainds           Temperature Flux Due to Rainfall Expressed as Heat Flux into Sea Water                                                            This is defined as "where ice\_free\_sea over sea"; i.e., the total flux (considered here) entering the ice-free portion of the grid cell divided by the area of the ocean portion of the grid cell.  All such heat fluxes are computed based on Celsius scale.
Omon.hfrunoffds          temperature_flux_due_to_runoff_expressed_as_heat_flux_into_sea_water                                                          hfrunoffds         Temperature Flux Due to Runoff Expressed as Heat Flux into Sea Water                                                              Heat flux associated with liquid water which drains from land. It is calculated relative to the heat that would be transported by runoff water entering the sea at zero degrees Celsius.
Omon.hfrunoffds2d        temperature_flux_due_to_runoff_expressed_as_heat_flux_into_sea_water                                                          hfrunoffds         Temperature Flux Due to Runoff Expressed as Heat Flux into Sea Water                                                              Heat flux associated with liquid water which drains from land. It is calculated relative to the heat that would be transported by runoff water entering the sea at zero degrees Celsius.
Omon.hfsnthermds         heat_flux_into_sea_water_due_to_snow_thermodynamics                                                                           hfsnthermds        Heat Flux into Sea Water Due to Snow Thermodynamics                                                                               In accordance with common usage in geophysical disciplines, "flux" implies per unit area, called "flux density" in physics.  The specification of a physical process by the phrase due\_to\_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  "Snow thermodynamics" refers to the addition or subtraction of mass due to surface and basal fluxes, i.e., due to melting, sublimation and fusion.
Omon.hfsnthermds2d       heat_flux_into_sea_water_due_to_snow_thermodynamics                                                                           hfsnthermds        Heat Flux into Sea Water Due to Snow Thermodynamics                                                                               In accordance with common usage in geophysical disciplines, "flux" implies per unit area, called "flux density" in physics.  The specification of a physical process by the phrase due\_to\_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  "Snow thermodynamics" refers to the addition or subtraction of mass due to surface and basal fluxes, i.e., due to melting, sublimation and fusion.
Omon.hfx                 ocean_heat_x_transport                                                                                                        hfx                3D Ocean Heat X Transport                                                                                                         Contains all contributions to 'x-ward' heat transport from resolved and parameterized processes. Use Celsius for temperature scale
Omon.hfxint              ocean_heat_x_transport                                                                                                        hfx                Vertically Integrated Ocean Heat X Transport                                                                                      Ocean heat x transport vertically integrated over the whole ocean depth. Contains all contributions to 'x-ward' heat transport from resolved and parameterized processes. Use Celsius for temperature scale. Report on native horizontal grid.
Omon.hfy                 ocean_heat_y_transport                                                                                                        hfy                3D Ocean Heat Y Transport                                                                                                         Contains all contributions to 'y-ward' heat transport from resolved and parameterized processes. Use Celsius for temperature scale.
Omon.hfyint              ocean_heat_y_transport                                                                                                        hfy                Vertically Integrated Ocean Heat Y Transport                                                                                      Ocean heat y transport vertically integrated over the whole ocean depth. Contains all contributions to 'y-ward' heat transport from resolved and parameterized processes. Use Celsius for temperature scale. Report on native horizontal grid.
