CMIP6 Compund Name       CF Standard Name                                                                              Physical Parameter Title                                                                 Description
SImon.sisndmassdyn       tendency_of_surface_snow_amount_due_to_sea_ice_dynamics                                       sisndmassdyn       Snow Mass Rate of Change Through Advection by Sea-Ice Dynamics        Rate of change of snow mass due to sea ice dynamics (advection, divergence, etc.) divided by grid-cell area.
SImon.sisndmassmelt      surface_snow_melt_flux                                                                        sisndmassmelt      Snow Mass Rate of Change Through Melt                                 Rate of change of snow mass through melt divided by grid-cell area. Always negative or zero.
SImon.sisndmasssi        tendency_of_surface_snow_amount_due_to_conversion_of_snow_to_sea_ice                          sisndmasssi        Snow Mass Rate of Change Through Snow-to-Ice Conversion               Rate of change of snow mass due to transformation of snow to sea ice divided by grid-cell area. Always negative or zero.
SImon.sisndmasssnf       snowfall_flux                                                                                 sisndmasssnf       Snow Mass Change Through Snowfall                                     Rate of change of snow mass due to solid precipitation (i.e. snowfall) falling onto sea ice divided by grid-cell area. Always positive or zero.
SImon.sisndmasssubl      tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice sisndmasssubl      Snow Mass Rate of Change Through Evaporation or Sublimation           Rate of change of snow mass through sublimation divided by grid-cell area. If a model does not differentiate between the sublimation of snow and sea ice, we recommend to report all sublimation within sisndmasssubl as long as the ice is snow covered.
SImon.sisndmasswind      tendency_of_surface_snow_amount_due_to_drifting_into_sea                                      sisndmasswind      Snow Mass Rate of Change Through Wind Drift of Snow                   Rate of change of snow mass due to wind-driven transport into the ocean divided by grid-cell area.
SImon.sisnhc             thermal_energy_content_of_surface_snow                                                        sisnhc             Snow Heat Content                                                     Heat content of all snow in grid cell divided by grid-cell area. This includes both the latent and sensible heat content contributions. Snow-water equivalent at 0 C is assumed to have a heat content of 0 J. Does not include the heat content of sea ice.
SImon.sisnmass           surface_snow_amount                                                                           sisnmass           Snow Mass per Area                                                    Total mass of snow on sea ice divided by grid-cell area. This then allows one to analyse the storage of latent heat in the snow, and to calculate the snow-water equivalent.
SImon.sisnmassacrossline snow_transport_across_line_due_to_sea_ice_dynamics                                            sisnmassacrossline Snow Mass Flux Through Straits                                        Net (sum of transport in all directions) snow mass transport through the following four passages, positive into the Arctic Ocean. Note that the definitions of the passages are for SIMIP purposes just meant as default values as given by the physical ocean MIP described in Griffies et al. (2016). Individual models might chose slightly different definitions as given by their grid geometry. 1. Fram Strait: (11.5W, 81.3N) to (10.5E, 79.6N). 2. Canadian Arctic Archipelago: (128.2W, 70.6N) to (59.3W, 82.1N). 3. Barents Sea Opening: (16.8E, 76.5N) to (19.2E, 70.2N). 4. Bering Strait: (171W, 66.2N) to (166W, 65N).
SImon.sisnmassn          surface_snow_mass                                                                             sisnmassn          Snow Mass on Sea Ice North                                            Total integrated mass of snow on sea ice in the Northern Hemisphere.
SImon.sisnmasss          surface_snow_mass                                                                             sisnmasss          Snow Mass on Sea Ice South                                            Total integrated mass of snow on sea ice in the Southern Hemisphere.
SImon.sisnthick          surface_snow_thickness                                                                        sisnthick          Snow Thickness                                                        Actual thickness of snow averaged over the snow-covered part of the sea ice. This thickness is usually directly available within the model formulation. It can also be derived by dividing the total volume of snow by the area of the snow.
SImon.sisnthickSouth30   surface_snow_thickness                                                                        sisnthick          Snow Thickness                                                        Actual thickness of snow averaged over the snow-covered part of the sea ice. This thickness is usually directly available within the model formulation. It can also be derived by dividing the total volume of snow by the area of the snow.
SImon.sispeed            sea_ice_speed                                                                                 sispeed            Sea-Ice Speed                                                         Speed of ice (i.e. mean absolute velocity) to account for back-and-forth movement of the ice.
SImon.sistressave        sea_ice_average_normal_horizontal_stress                                                      sistressave        Average Normal Stress in Sea Ice                                      Average normal stress in sea ice (first stress invariant). Requested as instantaneous value at the center of the month (i.e., first timestep of the 15th day of the month).
SImon.sistressmax        maximum_over_coordinate_rotation_of_sea_ice_horizontal_shear_stress                           sistressmax        Maximum Shear Stress in Sea Ice                                       Maximum shear stress in sea ice (second stress invariant). Requested as instantaneous value at the center of the month (i.e., first timestep of the 15th day of the month).
SImon.sistrxdtop         surface_downward_x_stress                                                                     sistrxdtop         X-Component of Atmospheric Stress on Sea Ice                          X-component of the atmospheric stress on the surface of sea ice divided by grid-cell area.
SImon.sistrxubot         upward_x_stress_at_sea_ice_base                                                               sistrxubot         X-Component of Ocean Stress on Sea Ice                                X-component of the ocean stress on the sea ice bottom divided by grid-cell area.
SImon.sistrydtop         surface_downward_y_stress                                                                     sistrydtop         Y-Component of Atmospheric Stress on Sea Ice                          Y-component of the atmospheric stress on the surface of sea ice divided by grid-cell area.
SImon.sistryubot         upward_y_stress_at_sea_ice_base                                                               sistryubot         Y-Component of Ocean Stress on Sea Ice                                Y-component of the ocean stress on the sea ice bottom divided by grid-cell area.
SImon.sitempbot          sea_ice_basal_temperature                                                                     sitempbot          Temperature at Ice-Ocean Interface                                    Mean temperature at the base of the sea ice, NOT the temperature within lowermost sea-ice model layer.
SImon.sitempsnic         sea_ice_surface_temperature                                                                   sitempsnic         Temperature at Snow-Ice Interface                                     Mean temperature at the snow-ice interface. This is the surface temperature of ice where snow thickness is zero.
SImon.sitemptop          surface_temperature                                                                           sitemptop          Surface Temperature of Sea Ice                                        Mean surface temperature of the sea-ice covered part of the grid cell. Wherever snow covers the ice, the surface temperature of the snow is used for the averaging, otherwise the surface temperature of the ice is used.
SImon.sitemptopSouth30   surface_temperature                                                                           sitemptop          Surface Temperature of Sea Ice                                        Mean surface temperature of the sea-ice covered part of the grid cell. Wherever snow covers the ice, the surface temperature of the snow is used for the averaging, otherwise the surface temperature of the ice is used.
SImon.sithick            sea_ice_thickness                                                                             sithick            Sea-Ice Thickness                                                     Actual (floe) thickness of sea ice averaged over the ice-covered part of a given grid cell, NOT volume divided by grid area.
SImon.sithickSouth30     sea_ice_thickness                                                                             sithick            Sea-Ice Thickness                                                     Actual (floe) thickness of sea ice averaged over the ice-covered part of a given grid cell, NOT volume divided by grid area.
SImon.sitimefrac         fraction_of_time_with_sea_ice_area_fraction_above_threshold                                   sitimefrac         Fraction of Time Steps with Sea Ice                                   Fraction of time steps of the averaging period during which sea ice is present (siconc > 0) in a grid cell.
SImon.sitimefracSouth30  fraction_of_time_with_sea_ice_area_fraction_above_threshold                                   sitimefrac         Fraction of Time Steps with Sea Ice                                   Fraction of time steps of the averaging period during which sea ice is present (siconc > 0) in a grid cell.
SImon.siu                sea_ice_x_velocity                                                                            siu                X-Component of Sea-Ice Velocity                                       X-component of sea-ice velocity on native model grid.
SImon.siuSouth30         sea_ice_x_velocity                                                                            siu                X-Component of Sea-Ice Velocity                                       X-component of sea-ice velocity on native model grid.
SImon.siv                sea_ice_y_velocity                                                                            siv                Y-Component of Sea-Ice Velocity                                       Y-component of sea-ice velocity on native model grid.
SImon.sivSouth30         sea_ice_y_velocity                                                                            siv                Y-Component of Sea-Ice Velocity                                       Y-component of sea-ice velocity on native model grid.
SImon.sivol              sea_ice_thickness                                                                             sivol              Sea-Ice Volume per Area                                               Total volume of sea ice divided by grid-cell area, also known as the equivalent thickness of sea ice.
SImon.sivoln             sea_ice_volume                                                                                sivoln             Sea-Ice Volume North                                                  Total integrated volume of sea ice in the Northern Hemisphere.
SImon.sivols             sea_ice_volume                                                                                sivols             Sea-Ice Volume South                                                  Total integrated volume of sea ice in the Southern Hemisphere.
