CMIP6 Compund Name       CF Standard Name                                                                              Physical Parameter Title                                                                 Description
SIday.sirdgconc          area_fraction                                                                                 sirdgconc          Fraction of Ridged Sea Ice                                            Area fraction of sea-ice surface that is ridged sea ice.
SIday.sirdgthick         sea_ice_thickness                                                                             sirdgthick         Ridged Ice Thickness                                                  Total volume of ridged sea ice divided by area of ridges, i.e. mean thickness of ridged sea ice.
SIday.sisali             sea_ice_salinity                                                                              sisali             Sea-Ice Salinity                                                      Mean sea-ice salinity of all sea ice in grid cell. Sometimes, models implicitly or explicitly assume a different salinity of the ice for thermodynamic considerations than they do for closing the salt budget with the ocean. In these cases, the mean salinity used in the calculation of the salt budget should be reported.
SIday.sisaltmass         sea_ice_mass_content_of_salt                                                                  sisaltmass         Mass of Salt in Sea Ice                                               Total mass of all salt in sea ice divided by grid-cell area. Sometimes, models implicitly or explicitly assume a different salinity of the ice for thermodynamic considerations than they do for closing the salt budget with the ocean. In these cases, the total mass of all salt in sea ice should be calculated from the salinity value used in the calculation of the salt budget.
SIday.sisnhc             thermal_energy_content_of_surface_snow                                                        sisnhc             Snow Heat Content                                                     Heat content of all snow in grid cell divided by grid-cell area. This includes both the latent and sensible heat content contributions. Snow-water equivalent at 0 C is assumed to have a heat content of 0 J. Does not include the heat content of sea ice.
SIday.sisnmassn          surface_snow_mass                                                                             sisnmassn          Snow Mass on Sea Ice North                                            Total integrated mass of snow on sea ice in the Northern Hemisphere.
SIday.sisnmasss          surface_snow_mass                                                                             sisnmasss          Snow Mass on Sea Ice South                                            Total integrated mass of snow on sea ice in the Southern Hemisphere.
SIday.sisnthick          surface_snow_thickness                                                                        sisnthick          Snow Thickness                                                        Actual thickness of snow averaged over the snow-covered part of the sea ice. This thickness is usually directly available within the model formulation. It can also be derived by dividing the total volume of snow by the area of the snow.
SIday.sispeed            sea_ice_speed                                                                                 sispeed            Sea-Ice Speed                                                         Speed of ice (i.e. mean absolute velocity) to account for back-and-forth movement of the ice.
SIday.sitempbot          sea_ice_basal_temperature                                                                     sitempbot          Temperature at Ice-Ocean Interface                                    Mean temperature at the base of the sea ice, NOT the temperature within lowermost sea-ice model layer.
SIday.sitempsnic         sea_ice_surface_temperature                                                                   sitempsnic         Temperature at Snow-Ice Interface                                     Mean temperature at the snow-ice interface. This is the surface temperature of ice where snow thickness is zero.
SIday.sitemptop          surface_temperature                                                                           sitemptop          Surface Temperature of Sea Ice                                        Mean surface temperature of the sea-ice covered part of the grid cell. Wherever snow covers the ice, the surface temperature of the snow is used for the averaging, otherwise the surface temperature of the ice is used.
SIday.sithick            sea_ice_thickness                                                                             sithick            Sea-Ice Thickness                                                     Actual (floe) thickness of sea ice averaged over the ice-covered part of a given grid cell, NOT volume divided by grid area.
SIday.sitimefrac         fraction_of_time_with_sea_ice_area_fraction_above_threshold                                   sitimefrac         Fraction of Time Steps with Sea Ice                                   Fraction of time steps of the averaging period during which sea ice is present (siconc > 0) in a grid cell.
SIday.siu                sea_ice_x_velocity                                                                            siu                X-Component of Sea-Ice Velocity                                       X-component of sea-ice velocity on native model grid.
SIday.siv                sea_ice_y_velocity                                                                            siv                Y-Component of Sea-Ice Velocity                                       Y-component of sea-ice velocity on native model grid.
SIday.sivoln             sea_ice_volume                                                                                sivoln             Sea-Ice Volume North                                                  Total integrated volume of sea ice in the Northern Hemisphere.
SIday.sivols             sea_ice_volume                                                                                sivols             Sea-Ice Volume South                                                  Total integrated volume of sea ice in the Southern Hemisphere.
SImon.siage              age_of_sea_ice                                                                                siage              Age of Sea Ice                                                        Age of sea ice since its formation in open water.
SImon.siageSouth30       age_of_sea_ice                                                                                siage              Age of Sea Ice                                                        Age of sea ice since its formation in open water.
SImon.siareaacrossline   sea_ice_area_transport_across_line                                                            siareaacrossline   Sea-Ice Area Flux Through Straits                                     Net (sum of transport in all directions) sea ice area transport through the following four passages, positive into the Arctic Ocean. Note that the definitions of the passages are for SIMIP purposes just meant as default values as given by the physical ocean MIP described in Griffies et al. (2016). Individual models might chose slightly different definitions as given by their grid geometry. 1. Fram Strait: (11.5W, 81.3N) to (10.5E, 79.6N). 2. Canadian Arctic Archipelago: (128.2W, 70.6N) to (59.3W, 82.1N). 3. Barents Sea Opening: (16.8E, 76.5N) to (19.2E, 70.2N). 4. Bering Strait: (171W, 66.2N) to (166W, 65N).
SImon.siarean            sea_ice_area                                                                                  siarean            Sea-Ice Area North                                                    Total integrated area of sea ice in the Northern Hemisphere (where siconc > 0). Does not include grid cells partially covered by land.
SImon.siareas            sea_ice_area                                                                                  siareas            Sea-Ice Area South                                                    Total integrated area of sea ice in the Southern Hemisphere (where siconc > 0). Does not include grid cells partially covered by land.
SImon.sicompstren        compressive_strength_of_sea_ice                                                               sicompstren        Compressive Sea Ice Strength                                          Computed strength of the ice pack, defined as the energy (J m-2) dissipated per unit area removed from the ice pack under compression, and assumed proportional to the change in potential energy caused by ridging. For Hibler-type models, this is P = P\* h exp(-C(1-A)) where P\* is compressive strength, h is ice thickness, A is compactness and C is strength reduction constant.
SImon.siconc             sea_ice_area_fraction                                                                         siconc             Sea-Ice Area Percentage (Ocean Grid)(Ocean Grid)                      Percentage of a given grid cell that is covered by sea ice on the ocean grid, independent of the thickness of that ice.
SImon.siconcSouth30      sea_ice_area_fraction                                                                         siconc             Sea-Ice Area Percentage (Ocean Grid)                                  Percentage of a given grid cell that is covered by sea ice on the ocean grid, independent of the thickness of that ice.
SImon.siconca            sea_ice_area_fraction                                                                         siconca            Sea-Ice Area Percentage (Atmospheric Grid)                            Percentage of a given grid cell that is covered by sea ice on the atmosphere grid, independent of the thickness of that ice.
SImon.sidconcdyn         tendency_of_sea_ice_area_fraction_due_to_dynamics                                             sidconcdyn         Sea-Ice Area Fraction Tendency Due to Dynamics                        Total rate of change in sea-ice area fraction through dynamics-related processes (advection, divergence, etc.).
SImon.sidconcth          tendency_of_sea_ice_area_fraction_due_to_thermodynamics                                       sidconcth          Sea-Ice Area Fraction Tendency Due to Thermodynamics                  Total rate of change in sea-ice area fraction through thermodynamic processes.
SImon.sidivvel           divergence_of_sea_ice_velocity                                                                sidivvel           Divergence of the Sea-Ice Velocity Field                              Divergence of sea-ice velocity field (first shear strain invariant). Requested as instantaneous value at the center of the month (i.e., first timestep of the 15th day of the month).
SImon.sidmassdyn         tendency_of_sea_ice_amount_due_to_sea_ice_dynamics                                            sidmassdyn         Sea-Ice Mass Change from Dynamics                                     Total rate of change in sea-ice mass through dynamics-related processes (advection, divergence, etc.) divided by grid-cell area.
SImon.sidmassevapsubl    water_evapotranspiration_flux                                                                 sidmassevapsubl    Sea-Ice Mass Change Through Evaporation and Sublimation               Rate of change of sea-ice mass change through evaporation and sublimation divided by grid-cell area. If a model does not differentiate between the sublimation of snow and sea ice, we recommend to report sidmassevapsubl as zero as long as the ice is snow covered, and to report any sublimation within the variable sisndmasssubl.
SImon.sidmassgrowthbot   tendency_of_sea_ice_amount_due_to_congelation_ice_accumulation                                sidmassgrowthbot   Sea-Ice Mass Change Through Basal Growth                              Rate of change of sea-ice mass due to vertical growth of existing sea ice at its base divided by grid-cell area. Note that this number is always positive or zero since sea-ice melt is collected in sidmassmeltbot. This is to account for differential growth and melt in models with a sub-grid scale ice thickness distribution.
SImon.sidmassgrowthsi    tendency_of_sea_ice_amount_due_to_conversion_of_snow_to_sea_ice                               sidmassgrowthsi    Sea-Ice Mass Change Through Snow-to-Ice Conversion                    Rate of change of sea-ice mass due to transformation of snow to sea ice divided by grid-cell area. Always positive or zero.
