CMIP6 Compund Name,CF Standard Name,Physical Parameter,Units,Title,Description
Emon.gppLut,gross_primary_productivity_of_biomass_expressed_as_carbon,gppLut,kg m-2 s-1,Gross Primary Production on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],"The rate of synthesis of biomass from inorganic precursors by autotrophs (""producers"") expressed as the mass of carbon which it contains. For example, photosynthesis in plants or phytoplankton. The producers also respire some of this biomass and the difference is referred to as the net primary production. Reported on land-use tiles."
Emon.gppShrub,gross_primary_productivity_of_biomass_expressed_as_carbon,gppShrub,kg m-2 s-1,Gross Primary Production on Shrub Tiles as Carbon Mass Flux [kgC m-2 s-1],Total GPP of shrubs in the grid cell
Emon.gppTree,gross_primary_productivity_of_biomass_expressed_as_carbon,gppTree,kg m-2 s-1,Gross Primary Production on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],Total GPP of trees in the grid cell
Emon.gppc13,gross_primary_productivity_of_biomass_expressed_as_13C,gppc13,kg m-2 s-1,Carbon-13 Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],"The rate of synthesis of carbon-13 in biomass from inorganic precursors by autotrophs (""producers"") expressed as the mass of carbon which it contains. For example, photosynthesis in plants or phytoplankton. The producers also respire some of this biomass and the difference is referred to as the net primary production."
Emon.gppc14,gross_primary_productivity_of_biomass_expressed_as_14C,gppc14,kg m-2 s-1,Carbon-14 Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],"The rate of synthesis of carbon-14 in biomass from inorganic precursors by autotrophs (""producers"") expressed as the mass of carbon which it contains. For example, photosynthesis in plants or phytoplankton. The producers also respire some of this biomass and the difference is referred to as the net primary production."
Emon.grassFracC3,area_fraction,grassFracC3,%,C3 Natural Grass Area Percentage,Percentage of entire grid cell covered by C3 natural grass.
Emon.grassFracC4,area_fraction,grassFracC4,%,C4 Natural Grass Area Percentage,Percentage of entire grid cell covered by C4 natural grass.
Emon.hflsLut,surface_upward_latent_heat_flux,hflsLut,W m-2,Latent Heat Flux on Land-Use Tile,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Upward"" indicates a vector component which is positive when directed upward (negative downward). The surface latent heat flux is the exchange of heat between the surface and the air on account of evaporation (including sublimation). In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics."
Emon.hfssLut,surface_upward_sensible_heat_flux,hfssLut,W m-2,Sensible Heat Flux on Land-Use Tile,"Upward sensible heat flux on land use tiles. The surface sensible heat flux, also called turbulent heat flux, is the exchange of heat between the surface and the air by motion of air."
Emon.irrLut,surface_downward_mass_flux_of_water_due_to_irrigation,irrLut,kg m-2 s-1,"Irrigation Flux Including any Irrigation for Crops, Trees, Pasture, or Urban Lawns",Mass flux of water due to irrigation.
Emon.laiLut,leaf_area_index,laiLut,1,Leaf Area Index on Land-Use Tile,A ratio obtained by dividing the total upper leaf surface area of vegetation by the (horizontal) surface area of the land on which it grows.
Emon.mrsfl,frozen_water_content_of_soil_layer,mrsfl,kg m-2,Frozen Water Content of Soil Layer,"in each soil layer, the mass of water in ice phase.  Reported as ""missing"" for grid cells occupied entirely by ""sea"""
Emon.mrsll,liquid_water_content_of_soil_layer,mrsll,kg m-2,Liquid Water Content of Soil Layer,"in each soil layer, the mass of water in liquid phase.  Reported as ""missing"" for grid cells occupied entirely by ""sea"""
Emon.mrsol,mass_content_of_water_in_soil_layer,mrsol,kg m-2,Total Water Content of Soil Layer,"in each soil layer, the mass of water in all phases, including ice.  Reported as ""missing"" for grid cells occupied entirely by ""sea"""
Emon.mrsosLut,mass_content_of_water_in_soil_layer,mrsosLut,kg m-2,Moisture in Upper Portion of Soil Column of Land-Use Tile,the mass of water in all phases in a thin surface layer; integrate over uppermost 10cm
Emon.mrtws,land_water_amount,mrtws,kg m-2,Terrestrial Water Storage,"requested for C4MIP, OCMIP/OMIP, LUMIP, ScenarioMIP, DECK, DAMIP, GeoMIP, LS3MIP, ??"
Emon.nLand,mass_content_of_nitrogen_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,nLand,kg m-2,Total Nitrogen in All Terrestrial Nitrogen Pools,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.
